Episode,Score,Steps,Epsilon,GhostsEaten
575,360,238,0.7944970450494887,0
576,100,45,0.794179246231469,0
577,300,110,0.7938615745329765,0
578,290,169,0.7935440299031633,0
579,320,447,0.7932266122912021,0
580,140,83,0.7929093216462856,0
581,440,262,0.792592157917627,0
582,540,283,0.7922751210544601,0
583,160,127,0.7919582110060384,0
584,340,128,0.7916414277216359,0
585,110,39,0.7913247711505473,0
586,110,49,0.7910082412420871,0
587,30,8,0.7906918379455903,0
588,100,56,0.7903755612104121,0
589,180,62,0.7900594109859279,0
590,20,5,0.7897433872215336,0
591,300,80,0.789427489866645,0
592,30,9,0.7891117188706984,0
593,300,137,0.7887960741831501,0
594,130,72,0.7884805557534769,0
595,270,212,0.7881651635311755,0
596,50,11,0.7878498974657631,0
597,160,65,0.7875347575067768,0
598,250,159,0.7872197436037741,0
599,130,51,0.7869048557063326,0
600,510,165,0.7865900937640501,0
601,180,84,0.7862754577265445,0
602,160,109,0.7859609475434539,0
603,170,110,0.7856465631644366,0
604,400,124,0.7853323045391708,0
605,110,51,0.7850181716173552,0
606,200,98,0.7847041643487083,0
607,300,94,0.7843902826829688,0
608,140,71,0.7840765265698957,0
609,210,77,0.7837628959592677,0
610,140,68,0.783449390800884,0
611,350,114,0.7831360110445638,0
612,140,105,0.782822756640146,0
613,120,83,0.78250962753749,0
614,150,47,0.782196623686475,0
615,280,100,0.7818837450370004,0
616,520,270,0.7815709915389857,0
617,70,38,0.7812583631423701,0
618,260,112,0.7809458597971132,0
619,90,55,0.7806334814531943,0
620,300,133,0.7803212280606131,0
621,120,46,0.7800090995693889,0
622,80,25,0.7796970959295612,0
623,320,101,0.7793852170911894,0
624,550,244,0.7790734630043529,0
625,560,278,0.7787618336191512,0
626,120,55,0.7784503288857035,0
627,90,53,0.7781389487541492,0
628,230,113,0.7778276931746476,0
629,310,154,0.7775165620973777,0
630,60,43,0.7772055554725388,0
631,280,160,0.7768946732503498,0
632,340,147,0.7765839153810496,0
633,340,122,0.7762732818148973,0
634,120,83,0.7759627725021714,0
635,390,134,0.7756523873931706,0
636,90,39,0.7753421264382133,0
637,70,20,0.7750319895876381,0
638,100,35,0.7747219767918031,0
639,110,21,0.7744120880010864,0
640,330,205,0.774102323165886,0
641,320,176,0.7737926822366197,0
642,520,209,0.7734831651637251,0
643,420,201,0.7731737718976596,0
644,80,66,0.7728645023889006,0
645,360,177,0.772555356587945,0
646,180,87,0.7722463344453099,0
647,400,140,0.7719374359115317,0
648,360,198,0.7716286609371672,0
649,650,16,0.7713200094727923,0
650,310,145,0.7710114814690032,0
651,420,198,0.7707030768764157,0
652,300,156,0.7703947956456652,0
653,330,216,0.7700866377274069,0
654,540,176,0.769778603072316,0
655,80,48,0.7694706916310872,0
